Gasto,Ingreso,Nivel de Riesgo
1465,3377,Crítico
1098,3786,Alerta
789,4341,Aceptable
372,4709,Aceptable
96,3528,Aceptable
164,4190,Aceptable
1037,2397,Crítico
1253,2561,Crítico
690,3743,Aceptable
884,1444,Crítico
365,1048,Alerta
731,4112,Aceptable
1501,2469,Crítico
1445,3041,Crítico
339,1875,Aceptable
1079,3818,Alerta
1228,1453,Crítico
871,4999,Aceptable
270,1573,Aceptable
187,4676,Aceptable
361,1631,Alerta
612,3935,Aceptable
295,4929,Aceptable
271,1688,Aceptable
1095,4570,Alerta
534,1667,Alerta
1661,3117,Crítico
1396,2103,Crítico
876,3512,Alerta
1654,3837,Crítico
1045,3927,Alerta
983,2305,Crítico
177,2265,Aceptable
541,4361,Aceptable
1659,2537,Crítico
709,3954,Aceptable
617,2895,Alerta
1790,2855,Crítico
560,3035,Aceptable
1488,4375,Alerta
1271,2917,Crítico
321,4631,Aceptable
960,4109,Alerta
1507,2078,Crítico
1718,4528,Crítico
886,1263,Crítico
1252,4871,Alerta
1114,3268,Alerta
859,1786,Crítico
1551,1265,Crítico
1219,3540,Alerta
1705,2559,Crítico
1608,4255,Crítico
40,3139,Aceptable
1261,4506,Alerta
821,4747,Aceptable
1386,2862,Crítico
702,1326,Crítico
1753,3400,Crítico
1606,4813,Alerta
461,3887,Aceptable
1731,3764,Crítico
1661,3325,Crítico
146,3599,Aceptable
596,1217,Crítico
1736,4869,Crítico
1576,1177,Crítico
315,4315,Aceptable
966,2979,Alerta
265,2786,Aceptable
1254,4705,Alerta
429,2250,Aceptable
742,3131,Alerta
1362,1948,Crítico
338,2999,Aceptable
492,1349,Crítico
1487,4660,Alerta
142,1352,Aceptable
1690,3732,Crítico
622,2887,Alerta
647,2792,Alerta
1089,2770,Crítico
512,3459,Aceptable
743,2299,Alerta
288,3835,Aceptable
980,3799,Alerta
223,4347,Aceptable
1144,4205,Alerta
1200,1446,Crítico
1196,2951,Crítico
254,3386,Aceptable
331,2606,Aceptable
940,1582,Crítico
488,2705,Aceptable
164,1801,Aceptable
1392,3987,Alerta
658,1510,Crítico
943,4909,Aceptable
757,4967,Aceptable
1261,1497,Crítico
1513,1200,Crítico
1646,2695,Crítico
1629,4822,Alerta
1730,2504,Crítico
343,3550,Aceptable
1717,3692,Crítico
1233,4623,Alerta
979,3427,Alerta
1146,2507,Crítico
178,1252,Aceptable
1783,2831,Crítico
1226,1535,Crítico
1046,2140,Crítico
221,2104,Aceptable
1659,4995,Alerta
1159,3984,Alerta
1254,2600,Crítico
179,3691,Aceptable
106,3215,Aceptable
165,3836,Aceptable
292,2472,Aceptable
50,2923,Aceptable
759,2264,Alerta
23,3130,Aceptable
1530,2515,Crítico
909,3007,Alerta
1091,4234,Alerta
1472,1185,Crítico
1077,4652,Alerta
975,4218,Alerta
175,2609,Aceptable
1143,2771,Crítico
187,2129,Aceptable
528,4816,Aceptable
446,2575,Aceptable
1507,4713,Alerta
1370,1197,Crítico
812,2515,Alerta
791,1950,Crítico
101,3910,Aceptable
1068,3370,Alerta
1501,2462,Crítico
1140,1779,Crítico
1248,4320,Alerta
1732,4347,Crítico
567,4559,Aceptable
1664,1183,Crítico
1542,3691,Crítico
357,4396,Aceptable
363,1216,Alerta
1339,4230,Alerta
1434,2906,Crítico
1593,2080,Crítico
1591,4972,Alerta
643,2727,Alerta
1315,2092,Crítico
493,2147,Alerta
420,3604,Aceptable
23,2574,Aceptable
1286,4245,Alerta
62,4828,Aceptable
553,3375,Aceptable
1243,3882,Alerta
1524,2086,Crítico
1132,3308,Alerta
1237,4216,Alerta
1143,1821,Crítico
1322,1026,Crítico
1553,3538,Crítico
959,2657,Crítico
267,2443,Aceptable
1570,4682,Alerta
1629,3174,Crítico
1442,4030,Crítico
337,2027,Aceptable
461,2873,Aceptable
1433,4393,Alerta
668,1815,Crítico
810,2888,Alerta
736,2891,Alerta
1132,4565,Alerta
659,3598,Aceptable
1293,3379,Crítico
910,1103,Crítico
1096,4562,Alerta
1132,1177,Crítico
977,3402,Alerta
1075,2036,Crítico
1669,1051,Crítico
326,3477,Aceptable
1568,2002,Crítico
1654,3545,Crítico
927,2092,Crítico
494,4545,Aceptable
438,1017,Crítico
225,2633,Aceptable
1134,1647,Crítico
991,4493,Alerta
37,4029,Aceptable
742,4065,Aceptable
1258,4588,Alerta
73,3618,Aceptable
145,2065,Aceptable
1305,4263,Alerta
1001,3728,Alerta
703,1681,Crítico
1022,3743,Alerta
601,4697,Aceptable
1230,3878,Alerta
1526,4467,Alerta
922,3982,Alerta
758,1660,Crítico
449,3936,Aceptable
787,2294,Alerta
1405,4886,Alerta
625,1939,Alerta
482,4024,Aceptable
971,2815,Alerta
479,2039,Alerta
1412,1899,Crítico
1609,4062,Crítico
1501,1260,Crítico
278,4584,Aceptable
1335,1974,Crítico
261,4767,Aceptable
1164,3077,Crítico
379,1680,Alerta
1299,1728,Crítico
709,3262,Alerta
1364,1657,Crítico
685,1537,Crítico
104,1255,Aceptable
1127,2092,Crítico
205,1812,Aceptable
1581,2978,Crítico
405,3600,Aceptable
893,1945,Crítico
592,3108,Aceptable
591,1238,Crítico
1370,4702,Alerta
1253,3987,Alerta
53,4727,Aceptable
443,3549,Aceptable
52,1493,Aceptable
520,4270,Aceptable
993,4946,Alerta
18,2165,Aceptable
238,2695,Aceptable
37,4360,Aceptable
945,3144,Alerta
619,3708,Aceptable
1593,2702,Crítico
1591,1605,Crítico
1586,1768,Crítico
1449,4558,Alerta
887,2330,Crítico
1688,2596,Crítico
56,2517,Aceptable
653,4867,Aceptable
382,4269,Aceptable
1326,3171,Crítico
135,1442,Aceptable
67,1011,Aceptable
420,2579,Aceptable
1014,2386,Crítico
1565,4482,Alerta
871,4473,Aceptable
1287,3263,Crítico
92,2185,Aceptable
1031,3704,Alerta
904,1611,Crítico
1276,4705,Alerta
1245,3039,Crítico
1585,3235,Crítico
1495,1418,Crítico
1766,2587,Crítico
1331,2673,Crítico
1627,2586,Crítico
167,3503,Aceptable
1414,2569,Crítico
317,2936,Aceptable
1088,4016,Alerta
894,2567,Alerta
1323,1290,Crítico
719,1945,Crítico
236,2855,Aceptable
1646,2255,Crítico
388,1321,Alerta
153,4233,Aceptable
1037,4748,Alerta
681,2279,Alerta
1112,1191,Crítico
973,1948,Crítico
194,3794,Aceptable
1026,1768,Crítico
867,3266,Alerta
1434,3187,Crítico
601,4365,Aceptable
646,4038,Aceptable
710,4246,Aceptable
754,4996,Aceptable
1607,3902,Crítico
1187,3335,Crítico
1669,2547,Crítico
1109,1807,Crítico
1275,4632,Alerta
208,1610,Aceptable
1199,3327,Crítico
1265,3272,Crítico
946,2506,Crítico
1296,2017,Crítico
236,1711,Aceptable
1118,1769,Crítico
324,1605,Alerta
1088,4260,Alerta
4,1807,Aceptable
1052,2412,Crítico
876,4436,Aceptable
416,2050,Alerta
1350,2632,Crítico
880,2137,Crítico
1792,2377,Crítico
967,4938,Aceptable
1555,2493,Crítico
263,3922,Aceptable
215,1141,Aceptable
138,4944,Aceptable
529,4559,Aceptable
1510,3531,Crítico
213,2428,Aceptable
1173,1008,Crítico
1517,2442,Crítico
942,1555,Crítico
979,4464,Alerta
1241,4531,Alerta
1570,2536,Crítico
913,4623,Aceptable
1350,1052,Crítico
957,2943,Alerta
1414,3323,Crítico
458,3728,Aceptable
944,3915,Alerta
464,1531,Alerta
1068,2863,Crítico
1631,1735,Crítico
1406,4071,Alerta
147,3383,Aceptable
1568,2637,Crítico
1154,1806,Crítico
1678,1114,Crítico
1710,4752,Crítico
517,2704,Aceptable
1708,1226,Crítico
953,4327,Alerta
1204,3157,Crítico
1264,2768,Crítico
1793,1654,Crítico
144,1540,Aceptable
225,4804,Aceptable
1535,4487,Alerta
587,1823,Alerta
746,4483,Aceptable
1233,1774,Crítico
1380,4182,Alerta
793,2445,Alerta
774,3395,Alerta
1252,3631,Alerta
1266,2311,Crítico
494,1408,Crítico
1650,4006,Crítico
1321,4456,Alerta
1396,2215,Crítico
185,2775,Aceptable
1775,2691,Crítico
809,2972,Alerta
1548,2099,Crítico
135,2673,Aceptable
989,3813,Alerta
106,3934,Aceptable
500,3326,Aceptable
1719,1563,Crítico
339,4371,Aceptable
713,2231,Alerta
1199,4578,Alerta
1590,1461,Crítico
1235,2995,Crítico
1234,2836,Crítico
621,3070,Alerta
1422,1953,Crítico
198,4293,Aceptable
334,3827,Aceptable
726,1902,Crítico
502,1724,Alerta
922,4771,Aceptable
982,2911,Alerta
1315,1785,Crítico
232,1969,Aceptable
1033,2895,Crítico
814,3887,Alerta
935,1589,Crítico
390,4247,Aceptable
1203,4491,Alerta
1165,2982,Crítico
1681,4570,Crítico
1116,1342,Crítico
281,4490,Aceptable
1732,3863,Crítico
559,1009,Crítico
900,2155,Crítico
1369,1450,Crítico
401,1366,Alerta
1488,2714,Crítico
1369,1132,Crítico
1519,3798,Crítico
887,2127,Crítico
714,3993,Aceptable
847,1175,Crítico
159,1963,Aceptable
1284,4564,Alerta
714,1695,Crítico
320,1132,Alerta
1781,4652,Crítico
104,1375,Aceptable
338,2174,Aceptable
1721,4405,Crítico
1790,2178,Crítico
457,1458,Alerta
1705,2974,Crítico
401,1244,Alerta
98,1713,Aceptable
941,1074,Crítico
1229,3434,Crítico
732,4773,Aceptable
1755,1889,Crítico
846,3890,Alerta
1092,4657,Alerta
240,1956,Aceptable
92,1695,Aceptable
514,3443,Aceptable
396,2844,Aceptable
1205,1530,Crítico
1215,1868,Crítico
570,4038,Aceptable
1239,3674,Alerta
1290,2412,Crítico
107,2373,Aceptable
971,1995,Crítico
1623,1253,Crítico
606,2377,Alerta
515,3995,Aceptable
1204,4905,Alerta
261,1737,Aceptable
554,2207,Alerta
1408,3998,Crítico
440,1008,Crítico
1005,3769,Alerta
633,1824,Alerta
1489,2879,Crítico
1535,1803,Crítico
1513,3166,Crítico
441,4990,Aceptable
121,3151,Aceptable
996,3753,Alerta
187,2351,Aceptable
841,2940,Alerta
1285,4200,Alerta
1216,4755,Alerta
254,3814,Aceptable
1194,4855,Alerta
1440,1588,Crítico
1523,1553,Crítico
783,1070,Crítico
573,4139,Aceptable
1534,4916,Alerta
967,2407,Crítico
312,2954,Aceptable
1244,1087,Crítico
1050,3032,Alerta
1172,2356,Crítico
556,3661,Aceptable
506,4159,Aceptable
753,4345,Aceptable
1787,2149,Crítico
256,4219,Aceptable
342,4949,Aceptable
1733,1713,Crítico
1535,2471,Crítico
575,4273,Aceptable
1047,4853,Alerta
786,1710,Crítico
215,3991,Aceptable
487,2670,Aceptable
382,3928,Aceptable
1335,2299,Crítico
202,1429,Aceptable
878,1100,Crítico
761,3156,Alerta
1723,1441,Crítico
290,1678,Aceptable
1180,4918,Alerta
1561,2318,Crítico
1369,4336,Alerta
646,2084,Alerta
674,1684,Crítico
1295,2649,Crítico
1188,3744,Alerta
1411,1809,Crítico
1466,2387,Crítico
405,1995,Alerta
451,2434,Aceptable
1599,3762,Crítico
1354,3153,Crítico
607,2823,Alerta
1288,3358,Crítico
152,2713,Aceptable
1553,1197,Crítico
1086,4036,Alerta
210,2247,Aceptable
272,2606,Aceptable
741,1014,Crítico
317,2174,Aceptable
606,2523,Alerta
871,2856,Alerta
763,1987,Crítico
859,4684,Aceptable
1004,1261,Crítico
1702,2490,Crítico
1145,1043,Crítico
1616,4588,Crítico
168,2284,Aceptable
777,1127,Crítico
910,1355,Crítico
1669,2696,Crítico
1609,3940,Crítico
833,3185,Alerta
5,1464,Aceptable
1289,2047,Crítico
1570,3636,Crítico
64,3088,Aceptable
176,2948,Aceptable
320,4677,Aceptable
210,4902,Aceptable
243,3642,Aceptable
845,2135,Crítico
492,3746,Aceptable
107,3272,Aceptable
1041,4686,Alerta
665,3831,Aceptable
1558,4526,Alerta
197,2824,Aceptable
1371,2326,Crítico
1261,4989,Alerta
841,4589,Aceptable
1781,4728,Crítico
1215,2151,Crítico
1034,3968,Alerta
1672,2059,Crítico
101,1260,Aceptable
136,3605,Aceptable
333,2643,Aceptable
1028,2645,Crítico
965,4364,Alerta
1528,3922,Crítico
896,4166,Alerta
116,2869,Aceptable
1272,4744,Alerta
817,1772,Crítico
1044,3863,Alerta
80,4236,Aceptable
1666,2791,Crítico
564,4733,Aceptable
546,2975,Aceptable
792,3634,Alerta
1222,1173,Crítico
921,3809,Alerta
1720,1367,Crítico
1012,3592,Alerta
854,1365,Crítico
508,3387,Aceptable
773,3009,Alerta
964,4510,Alerta
1035,4039,Alerta
783,4082,Aceptable
717,3579,Alerta
1198,1491,Crítico
1679,2932,Crítico
1417,1472,Crítico
1488,1238,Crítico
1750,3172,Crítico
1735,1943,Crítico
1012,4810,Alerta
584,2454,Alerta
1672,4500,Crítico
1056,1546,Crítico
468,1408,Alerta
1435,4864,Alerta
1307,3551,Crítico
602,1580,Crítico
1116,3660,Alerta
1060,3975,Alerta
1132,2841,Crítico
550,4739,Aceptable
1361,3218,Crítico
1216,2096,Crítico
1683,4908,Alerta
842,1399,Crítico
1103,4362,Alerta
1027,4369,Alerta
585,2815,Alerta
234,3408,Aceptable
43,3118,Aceptable
246,1521,Aceptable
126,2359,Aceptable
1758,1556,Crítico
702,4863,Aceptable
525,4012,Aceptable
243,2212,Aceptable
734,2338,Alerta
1376,4430,Alerta
1761,3031,Crítico
1161,4968,Alerta
409,4997,Aceptable
210,1041,Alerta
1192,2432,Crítico
1767,4770,Crítico
1309,3153,Crítico
1140,3898,Alerta
1038,1946,Crítico
1043,1216,Crítico
969,1945,Crítico
1348,3021,Crítico
1575,3733,Crítico
1520,1329,Crítico
174,4970,Aceptable
1717,4060,Crítico
1243,1254,Crítico
680,1714,Crítico
502,2363,Alerta
762,3489,Alerta
120,4137,Aceptable
1768,4740,Crítico
1086,2551,Crítico
397,4479,Aceptable
781,2373,Alerta
1151,4257,Alerta
1178,4323,Alerta
130,3199,Aceptable
1340,3851,Alerta
812,2146,Crítico
1588,1648,Crítico
744,2597,Alerta
500,4446,Aceptable
260,4516,Aceptable
519,1924,Alerta
674,3017,Alerta
447,1386,Alerta
1303,3981,Alerta
84,3036,Aceptable
1614,4681,Alerta
1262,4040,Alerta
1642,4505,Crítico
399,3218,Aceptable
1043,1531,Crítico
1754,2861,Crítico
173,2192,Aceptable
785,1770,Crítico
1454,4781,Alerta
59,2146,Aceptable
229,2877,Aceptable
1739,2674,Crítico
118,1004,Aceptable
1463,1367,Crítico
897,3130,Alerta
577,1020,Crítico
521,2783,Aceptable
439,4934,Aceptable
339,3398,Aceptable
182,3994,Aceptable
679,3549,Aceptable
1742,2744,Crítico
153,1675,Aceptable
29,2861,Aceptable
1359,4584,Alerta
1297,3047,Crítico
231,4854,Aceptable
19,3438,Aceptable
523,4578,Aceptable
255,1065,Alerta
607,1616,Crítico
1280,2416,Crítico
323,2515,Aceptable
1173,4642,Alerta
1251,1751,Crítico
742,4257,Aceptable
1712,1870,Crítico
834,1423,Crítico
476,4364,Aceptable
1614,2354,Crítico
1582,3705,Crítico
1353,4499,Alerta
305,1901,Aceptable
582,4276,Aceptable
614,4475,Aceptable
992,4210,Alerta
1154,2647,Crítico
820,1268,Crítico
1258,2487,Crítico
50,2282,Aceptable
774,3347,Alerta
1129,2005,Crítico
657,2219,Alerta
580,1230,Crítico
1489,3761,Crítico
1624,2473,Crítico
1618,1628,Crítico
816,4559,Aceptable
1691,2063,Crítico
1755,2706,Crítico
1508,1669,Crítico
268,1711,Aceptable
1378,3442,Crítico
1159,4788,Alerta
1657,3089,Crítico
1384,3810,Crítico
567,4774,Aceptable
174,2656,Aceptable
1342,3781,Crítico
1175,1055,Crítico
320,4303,Aceptable
140,4475,Aceptable
1639,3576,Crítico
681,4281,Aceptable
1732,4623,Crítico
