Gasto,Ingreso,Nivel de Riesgo
1974,3250,Crítico
568,2068,Aceptable
157,3015,Aceptable
1876,3061,Crítico
521,4012,Aceptable
2296,1074,Crítico
1496,2962,Crítico
768,1771,Alerta
1298,4836,Aceptable
2029,3512,Crítico
374,3036,Aceptable
1331,3645,Alerta
962,3381,Aceptable
2375,3856,Crítico
1909,3180,Crítico
500,3711,Aceptable
70,2810,Aceptable
1644,4228,Alerta
1697,2152,Crítico
1224,1334,Crítico
168,1321,Aceptable
80,2590,Aceptable
1026,2366,Alerta
797,4160,Aceptable
831,4669,Aceptable
1304,3014,Alerta
704,4560,Aceptable
1280,3597,Alerta
1964,2583,Crítico
1815,1512,Crítico
279,3069,Aceptable
537,3256,Aceptable
227,1289,Aceptable
1556,3738,Alerta
884,1124,Crítico
219,2038,Aceptable
241,2576,Aceptable
864,3040,Aceptable
2105,2146,Crítico
2137,2087,Crítico
2348,3634,Crítico
367,4380,Aceptable
2485,2476,Crítico
1374,1494,Crítico
1978,2547,Crítico
181,2527,Aceptable
902,1015,Crítico
1269,2531,Crítico
314,2577,Aceptable
655,2803,Aceptable
275,4471,Aceptable
1937,1792,Crítico
563,1047,Crítico
2469,3190,Crítico
2229,4856,Alerta
603,1570,Alerta
2176,3178,Crítico
2388,2611,Crítico
1771,2152,Crítico
2460,1682,Crítico
1063,3845,Aceptable
2031,4296,Alerta
1014,2900,Aceptable
2499,4997,Crítico
1156,4571,Aceptable
553,1338,Alerta
1434,4199,Aceptable
1665,2563,Crítico
149,2902,Aceptable
1526,2360,Crítico
2132,1855,Crítico
152,2239,Aceptable
1230,1345,Crítico
1349,2184,Crítico
790,2571,Aceptable
1554,3837,Alerta
48,4156,Aceptable
1755,3781,Alerta
1220,3327,Alerta
1124,4113,Aceptable
1441,1896,Crítico
1507,4360,Aceptable
348,3968,Aceptable
1565,4091,Alerta
858,3879,Aceptable
2374,4963,Alerta
1420,3792,Alerta
1563,4866,Aceptable
44,1429,Aceptable
1332,2497,Crítico
2101,4823,Alerta
2429,2630,Crítico
2095,1959,Crítico
2277,1733,Crítico
1746,2626,Crítico
1721,3773,Alerta
1231,3699,Aceptable
1101,1470,Crítico
656,3617,Aceptable
746,3672,Aceptable
1907,2835,Crítico
534,2613,Aceptable
1196,2276,Crítico
641,2487,Aceptable
42,2861,Aceptable
1338,4597,Aceptable
484,4614,Aceptable
2212,1569,Crítico
302,2163,Aceptable
910,2696,Aceptable
805,4011,Aceptable
125,1867,Aceptable
411,4940,Aceptable
493,1471,Aceptable
1321,3461,Alerta
903,2065,Alerta
1541,2482,Crítico
319,1896,Aceptable
293,3296,Aceptable
2103,1854,Crítico
963,4244,Aceptable
1135,3423,Aceptable
918,4789,Aceptable
1161,4631,Aceptable
1010,4683,Aceptable
429,2155,Aceptable
49,2014,Aceptable
853,2383,Alerta
83,4976,Aceptable
1751,3737,Alerta
1085,2522,Alerta
2238,1045,Crítico
542,2317,Aceptable
1748,1586,Crítico
872,3885,Aceptable
1056,3259,Aceptable
831,3479,Aceptable
1615,2759,Crítico
219,4125,Aceptable
2023,1970,Crítico
404,3272,Aceptable
1477,3030,Alerta
1524,1772,Crítico
1014,2977,Aceptable
377,1207,Aceptable
1560,3783,Alerta
1965,4308,Alerta
1037,1645,Crítico
1147,1109,Crítico
2438,1826,Crítico
129,1955,Aceptable
2013,4085,Alerta
1132,3275,Aceptable
1526,3059,Alerta
1118,1407,Crítico
1090,2735,Alerta
1919,1321,Crítico
1871,2772,Crítico
445,4542,Aceptable
1944,1351,Crítico
929,4524,Aceptable
1220,2124,Crítico
2025,3685,Crítico
245,2194,Aceptable
769,4585,Aceptable
2442,2115,Crítico
523,4099,Aceptable
1243,3010,Alerta
2349,4380,Crítico
2400,4255,Crítico
80,4697,Aceptable
2498,2451,Crítico
2101,3843,Crítico
314,4408,Aceptable
2172,4420,Alerta
1476,3457,Alerta
251,2876,Aceptable
1594,3389,Alerta
2091,4893,Alerta
2219,1169,Crítico
724,3302,Aceptable
199,2286,Aceptable
1597,1091,Crítico
615,3032,Aceptable
195,4283,Aceptable
1839,1027,Crítico
610,3531,Aceptable
269,2686,Aceptable
2044,3130,Crítico
850,1449,Crítico
857,4976,Aceptable
1374,4385,Aceptable
2408,4806,Crítico
445,3375,Aceptable
952,2454,Alerta
583,3636,Aceptable
975,3846,Aceptable
699,4146,Aceptable
1831,2573,Crítico
166,3141,Aceptable
442,2720,Aceptable
902,2350,Alerta
254,4893,Aceptable
97,2238,Aceptable
1689,3735,Alerta
893,1402,Crítico
1525,1827,Crítico
1212,4977,Aceptable
1687,1988,Crítico
582,3230,Aceptable
1411,3996,Alerta
1486,3763,Alerta
2261,3930,Crítico
1832,1861,Crítico
1841,2166,Crítico
695,1309,Crítico
230,2069,Aceptable
1307,4576,Aceptable
900,3071,Aceptable
865,2569,Aceptable
2106,4207,Crítico
2114,4096,Crítico
1054,4914,Aceptable
300,3912,Aceptable
537,1871,Aceptable
2391,1397,Crítico
970,2821,Aceptable
43,2091,Aceptable
1956,2790,Crítico
2185,1647,Crítico
2289,2444,Crítico
2138,1008,Crítico
959,3032,Aceptable
285,2790,Aceptable
1194,2248,Crítico
1554,3093,Crítico
833,2461,Aceptable
1661,1317,Crítico
407,1176,Aceptable
2190,2250,Crítico
360,1220,Aceptable
240,2961,Aceptable
866,2973,Aceptable
2366,4906,Alerta
918,3850,Aceptable
1044,3575,Aceptable
1194,3182,Alerta
715,2876,Aceptable
1718,4338,Alerta
1926,3908,Alerta
1110,4466,Aceptable
560,2084,Aceptable
1116,1158,Crítico
862,4693,Aceptable
2373,2879,Crítico
2494,3734,Crítico
906,1567,Crítico
1933,4540,Alerta
1991,1872,Crítico
617,4352,Aceptable
927,4905,Aceptable
867,4133,Aceptable
1450,2010,Crítico
1024,3770,Aceptable
721,2731,Aceptable
1856,4948,Alerta
354,2384,Aceptable
1180,3088,Alerta
1219,1001,Crítico
767,3983,Aceptable
1555,1360,Crítico
1200,2000,Crítico
2113,4681,Alerta
82,1119,Aceptable
612,2157,Aceptable
2309,3928,Crítico
705,2096,Aceptable
415,4043,Aceptable
8,3920,Aceptable
844,3608,Aceptable
1441,4117,Alerta
1576,1999,Crítico
1823,1900,Crítico
18,4475,Aceptable
438,2465,Aceptable
591,1968,Aceptable
753,3882,Aceptable
1033,2869,Alerta
1337,2027,Crítico
1899,3173,Crítico
1512,3938,Alerta
71,4887,Aceptable
650,3137,Aceptable
1797,1847,Crítico
582,4764,Aceptable
283,4097,Aceptable
1928,3847,Crítico
685,4104,Aceptable
1374,4418,Aceptable
1773,4114,Alerta
1186,1934,Crítico
188,2885,Aceptable
2017,4271,Alerta
1153,1184,Crítico
1150,1812,Crítico
2437,1485,Crítico
266,3018,Aceptable
953,3127,Aceptable
2354,3280,Crítico
2206,3858,Crítico
454,2641,Aceptable
602,2756,Aceptable
2371,3573,Crítico
2258,4764,Alerta
1994,4507,Alerta
2289,4408,Crítico
164,2244,Aceptable
1534,4960,Aceptable
199,1680,Aceptable
1319,2372,Crítico
1884,4992,Alerta
2065,1062,Crítico
1855,2581,Crítico
886,2777,Aceptable
450,2024,Aceptable
1848,4199,Alerta
933,4873,Aceptable
1552,4253,Alerta
1491,1334,Crítico
2344,1017,Crítico
353,2105,Aceptable
1751,3041,Crítico
2226,2307,Crítico
1600,1731,Crítico
998,1132,Crítico
2059,2504,Crítico
676,4998,Aceptable
1048,3443,Aceptable
1809,2764,Crítico
1721,1591,Crítico
588,4679,Aceptable
1196,3179,Alerta
1116,1127,Crítico
1713,1696,Crítico
1177,3302,Alerta
1217,2647,Alerta
12,3604,Aceptable
2198,4551,Alerta
822,4297,Aceptable
1923,2774,Crítico
1745,4898,Alerta
2397,2397,Crítico
532,2929,Aceptable
982,1555,Crítico
2232,3172,Crítico
1301,4007,Aceptable
2251,4592,Alerta
1412,3970,Alerta
983,4709,Aceptable
880,4379,Aceptable
1115,3347,Aceptable
1074,3706,Aceptable
593,1032,Crítico
1850,3197,Crítico
1090,3373,Aceptable
1896,3873,Alerta
1192,3736,Aceptable
1501,1685,Crítico
875,1211,Crítico
1062,3047,Aceptable
448,2599,Aceptable
1785,4392,Alerta
1054,3454,Aceptable
227,1738,Aceptable
6,1023,Aceptable
2450,2828,Crítico
177,3648,Aceptable
2020,1282,Crítico
115,1974,Aceptable
790,1030,Crítico
2024,4694,Alerta
1088,1352,Crítico
910,2540,Alerta
1060,3693,Aceptable
17,2186,Aceptable
1096,4203,Aceptable
517,1638,Aceptable
1633,1546,Crítico
886,3735,Aceptable
527,4208,Aceptable
2100,1918,Crítico
1851,2681,Crítico
1981,3795,Crítico
340,3022,Aceptable
2244,4461,Crítico
280,1909,Aceptable
1247,4135,Aceptable
1396,1896,Crítico
1883,3207,Crítico
1164,4965,Aceptable
1161,4662,Aceptable
1602,4667,Aceptable
987,2334,Alerta
1741,3611,Alerta
1022,4937,Aceptable
18,3482,Aceptable
817,3901,Aceptable
1814,4398,Alerta
2342,1907,Crítico
1487,2848,Crítico
913,4892,Aceptable
483,4196,Aceptable
869,4491,Aceptable
1132,2686,Alerta
1629,3818,Alerta
481,3502,Aceptable
318,4561,Aceptable
2129,4439,Alerta
1251,2165,Crítico
459,3780,Aceptable
859,4085,Aceptable
1947,4556,Alerta
247,1286,Aceptable
667,1796,Alerta
321,4911,Aceptable
2058,4985,Alerta
2278,1283,Crítico
2231,1599,Crítico
132,4247,Aceptable
924,3839,Aceptable
1542,4184,Alerta
1524,4948,Aceptable
136,1823,Aceptable
2446,4900,Alerta
436,4533,Aceptable
571,4924,Aceptable
2371,3937,Crítico
192,3428,Aceptable
1423,2023,Crítico
759,3132,Aceptable
747,1513,Alerta
745,2728,Aceptable
1066,4608,Aceptable
1799,3526,Crítico
728,2530,Aceptable
1116,2442,Alerta
2440,2091,Crítico
1251,2659,Alerta
2431,2216,Crítico
1483,4111,Alerta
1756,4945,Alerta
1972,2952,Crítico
146,3880,Aceptable
1939,3366,Crítico
1304,3253,Alerta
321,4083,Aceptable
1128,1895,Crítico
1441,2858,Crítico
205,4436,Aceptable
64,4046,Aceptable
120,3638,Aceptable
878,1673,Crítico
2325,4108,Crítico
992,4075,Aceptable
1246,2375,Crítico
2461,2110,Crítico
1865,1290,Crítico
604,4625,Aceptable
1292,2041,Crítico
2256,4942,Alerta
1676,3840,Alerta
1814,4439,Alerta
2068,3658,Crítico
440,3506,Aceptable
1105,3389,Aceptable
469,2177,Aceptable
283,3284,Aceptable
216,4072,Aceptable
2420,2821,Crítico
1545,1126,Crítico
788,1970,Alerta
895,1915,Alerta
35,1902,Aceptable
2109,4766,Alerta
914,1541,Crítico
719,2751,Aceptable
210,2740,Aceptable
2178,2142,Crítico
733,3945,Aceptable
889,1899,Alerta
338,3791,Aceptable
2180,1778,Crítico
1046,4294,Aceptable
702,4219,Aceptable
1630,3599,Alerta
1054,3789,Aceptable
946,4142,Aceptable
1510,3934,Alerta
1550,1555,Crítico
1643,3640,Alerta
769,2003,Alerta
206,4486,Aceptable
922,1310,Crítico
1773,1411,Crítico
1401,1006,Crítico
213,2024,Aceptable
1192,3485,Aceptable
424,3911,Aceptable
864,1125,Crítico
117,4190,Aceptable
2006,3833,Crítico
504,3589,Aceptable
1493,2237,Crítico
55,3275,Aceptable
964,4040,Aceptable
1340,4086,Aceptable
801,2327,Aceptable
1958,1249,Crítico
1101,3144,Alerta
2159,1349,Crítico
1903,4898,Alerta
617,2604,Aceptable
409,1319,Aceptable
2458,2757,Crítico
32,4228,Aceptable
1532,3630,Alerta
1089,3318,Aceptable
1638,2433,Crítico
1699,1912,Crítico
1938,4841,Alerta
674,2678,Aceptable
701,3364,Aceptable
1650,1733,Crítico
1724,2520,Crítico
1265,3507,Alerta
825,1964,Alerta
182,1697,Aceptable
66,1141,Aceptable
2439,3754,Crítico
1028,1221,Crítico
2302,2321,Crítico
1817,1707,Crítico
1911,2719,Crítico
1339,3228,Alerta
546,3749,Aceptable
1672,4625,Alerta
1407,4652,Aceptable
1715,1479,Crítico
2225,1308,Crítico
1967,2558,Crítico
385,4037,Aceptable
816,2822,Aceptable
891,4785,Aceptable
715,4686,Aceptable
459,2910,Aceptable
1269,1548,Crítico
649,1653,Alerta
1400,4836,Aceptable
1451,1171,Crítico
76,2610,Aceptable
2418,4523,Crítico
484,1055,Alerta
833,4685,Aceptable
1925,4178,Alerta
71,2921,Aceptable
536,3090,Aceptable
2382,3003,Crítico
416,2867,Aceptable
1609,4542,Alerta
1374,3285,Alerta
2113,4430,Alerta
462,1947,Aceptable
803,3245,Aceptable
2282,3108,Crítico
604,1293,Alerta
635,3580,Aceptable
341,3501,Aceptable
2142,4769,Alerta
1372,2298,Crítico
1681,1241,Crítico
1173,2123,Crítico
1360,2588,Crítico
362,2520,Aceptable
179,2424,Aceptable
2245,1571,Crítico
625,1301,Alerta
1717,2899,Crítico
312,2560,Aceptable
40,1298,Aceptable
2456,3684,Crítico
130,2889,Aceptable
1291,2542,Crítico
790,1911,Alerta
431,1596,Aceptable
1626,2326,Crítico
30,1859,Aceptable
217,4185,Aceptable
879,4691,Aceptable
1436,4623,Aceptable
1995,4506,Alerta
2413,4840,Alerta
1190,3224,Alerta
1901,5000,Alerta
1510,3982,Alerta
337,3595,Aceptable
1361,3406,Alerta
2024,3763,Crítico
8,1585,Aceptable
1212,4172,Aceptable
1346,3207,Alerta
863,2576,Aceptable
1931,3923,Alerta
1136,2020,Crítico
450,1101,Alerta
2397,3555,Crítico
1940,2224,Crítico
2080,3907,Crítico
213,3005,Aceptable
2418,1443,Crítico
1454,3976,Alerta
629,1441,Alerta
1060,1589,Crítico
235,1398,Aceptable
2038,2895,Crítico
2027,2744,Crítico
2466,1783,Crítico
289,1143,Aceptable
1550,4233,Alerta
22,2812,Aceptable
961,3887,Aceptable
813,4263,Aceptable
59,4111,Aceptable
1560,2589,Crítico
1112,3321,Aceptable
1630,3420,Alerta
1508,3575,Alerta
660,2924,Aceptable
1794,3676,Alerta
384,2525,Aceptable
1210,2413,Crítico
493,2549,Aceptable
35,2406,Aceptable
102,3791,Aceptable
1295,1546,Crítico
623,1579,Alerta
755,4392,Aceptable
2000,4862,Alerta
2106,2901,Crítico
1370,3952,Aceptable
1059,4131,Aceptable
779,1325,Crítico
1661,3903,Alerta
180,1375,Aceptable
2472,2167,Crítico
1277,4082,Aceptable
1614,4275,Alerta
1122,1304,Crítico
366,1293,Aceptable
1501,1514,Crítico
1383,3589,Alerta
47,3374,Aceptable
2012,1438,Crítico
1317,3851,Aceptable
1074,3934,Aceptable
618,2693,Aceptable
324,4535,Aceptable
1216,1164,Crítico
2330,3752,Crítico
64,2309,Aceptable
1837,4453,Alerta
1219,1698,Crítico
340,3061,Aceptable
933,1237,Crítico
1366,4148,Aceptable
2,1998,Aceptable
2365,4039,Crítico
1277,1111,Crítico
248,3186,Aceptable
289,2343,Aceptable
1707,2612,Crítico
1456,3754,Alerta
487,2358,Aceptable
348,2266,Aceptable
2364,2651,Crítico
1199,1545,Crítico
1931,2982,Crítico
787,1764,Alerta
2037,4495,Alerta
1014,1774,Crítico
1944,4201,Alerta
1024,3192,Aceptable
847,2814,Aceptable
749,3523,Aceptable
707,2074,Aceptable
1941,4404,Alerta
1965,1466,Crítico
1662,4106,Alerta
1811,1113,Crítico
494,1970,Aceptable
1214,3870,Aceptable
450,1065,Alerta
1111,1275,Crítico
1726,3542,Alerta
1727,2947,Crítico
491,3095,Aceptable
1657,2798,Crítico
1198,1253,Crítico
607,2907,Aceptable
1909,3624,Crítico
389,2091,Aceptable
2113,1318,Crítico
65,2837,Aceptable
135,4113,Aceptable
867,4569,Aceptable
2173,2410,Crítico
1249,1516,Crítico
71,4828,Aceptable
2253,1839,Crítico
1641,1495,Crítico
1701,3883,Alerta
2309,2143,Crítico
1448,3375,Alerta
140,3246,Aceptable
1233,3988,Aceptable
2340,4529,Crítico
2126,1808,Crítico
1831,2810,Crítico
132,1445,Aceptable
1543,1428,Crítico
770,4138,Aceptable
259,1730,Aceptable
1576,1505,Crítico
393,2813,Aceptable
280,4939,Aceptable
276,4281,Aceptable
1047,3831,Aceptable
613,2627,Aceptable
1794,1751,Crítico
1958,2219,Crítico
1710,4099,Alerta
2270,4329,Crítico
1220,2088,Crítico
937,2393,Alerta
525,3049,Aceptable
440,2827,Aceptable
250,1139,Aceptable
2242,2582,Crítico
1031,1470,Crítico
125,4472,Aceptable
1474,4416,Aceptable
504,3381,Aceptable
1112,3993,Aceptable
668,1454,Alerta
2494,2042,Crítico
475,3004,Aceptable
331,1386,Aceptable
1919,2827,Crítico
2378,1206,Crítico
335,4243,Aceptable
1086,4875,Aceptable
1939,1756,Crítico
881,1276,Crítico
1324,4020,Aceptable
2124,3994,Crítico
2103,4421,Alerta
2202,2154,Crítico
1204,1443,Crítico
1320,2872,Alerta
1309,4752,Aceptable
84,1374,Aceptable
2108,4487,Alerta
1671,2345,Crítico
429,3260,Aceptable
192,1476,Aceptable
1205,1517,Crítico
880,3597,Aceptable
1569,2878,Crítico
1302,1243,Crítico
2286,4398,Crítico
2100,3525,Crítico
1274,4676,Aceptable
587,1671,Alerta
587,4686,Aceptable
463,3738,Aceptable
2245,4787,Alerta
1757,3465,Crítico
408,2508,Aceptable
1123,4346,Aceptable
791,1263,Crítico
1225,1999,Crítico
2229,4646,Alerta
2479,3292,Crítico
2026,3512,Crítico
1993,3854,Crítico
1026,3074,Aceptable
2451,2577,Crítico
2119,3219,Crítico
1510,2146,Crítico
860,4595,Aceptable
2045,2770,Crítico
595,4825,Aceptable
728,3427,Aceptable
1743,2217,Crítico
1868,3073,Crítico
973,1495,Crítico
2228,3318,Crítico
1097,4933,Aceptable
1099,1741,Crítico
568,3468,Aceptable
132,4728,Aceptable
325,1478,Aceptable
929,2843,Aceptable
1599,1627,Crítico
896,2507,Alerta
699,3720,Aceptable
1868,1357,Crítico
2423,1683,Crítico
1108,2696,Alerta
581,2935,Aceptable
2267,3621,Crítico
675,3167,Aceptable
1829,3165,Crítico
1995,1911,Crítico
904,1459,Crítico
378,4692,Aceptable
836,4572,Aceptable
2416,2226,Crítico
2380,4601,Crítico
1148,3227,Alerta
1631,1915,Crítico
2377,2170,Crítico
1408,3980,Alerta
1866,1413,Crítico
2030,3011,Crítico
2427,4761,Crítico
1459,4251,Aceptable
1825,1042,Crítico
31,2735,Aceptable
1232,4612,Aceptable
768,2434,Aceptable
1403,3957,Alerta
366,1476,Aceptable
690,2989,Aceptable
2086,3552,Crítico
2492,2600,Crítico
485,1114,Alerta
540,1315,Alerta
771,2931,Aceptable
2468,4194,Crítico
1132,2189,Crítico
2227,1835,Crítico
5,3218,Aceptable
475,4619,Aceptable
1252,2782,Alerta
1653,3128,Crítico
1283,3671,Aceptable
1983,4235,Alerta
991,1744,Crítico
323,2598,Aceptable
243,4721,Aceptable
1335,4754,Aceptable
2383,2048,Crítico
1849,3480,Crítico
2478,3698,Crítico
1994,1390,Crítico
2201,1321,Crítico
389,2351,Aceptable
152,2836,Aceptable
2431,2879,Crítico
1815,4750,Alerta
1729,1771,Crítico
130,4704,Aceptable
2014,1072,Crítico
2371,4287,Crítico
17,2860,Aceptable
683,4986,Aceptable
2189,3524,Crítico
2336,4634,Crítico
1511,2666,Crítico
2280,2461,Crítico
1825,4501,Alerta
1781,2295,Crítico
1350,4588,Aceptable
1062,1715,Crítico
290,2884,Aceptable
1165,1288,Crítico
1821,4729,Alerta
2263,1856,Crítico
1258,2432,Crítico
1141,4884,Aceptable
293,4786,Aceptable
2135,3317,Crítico
1509,3241,Alerta
345,4333,Aceptable
502,1899,Aceptable
2077,4983,Alerta
2242,3439,Crítico
583,3164,Aceptable
994,3748,Aceptable
1417,2838,Alerta
1370,3137,Alerta
1325,1761,Crítico
1254,1698,Crítico
798,2431,Aceptable
1673,1147,Crítico
1640,4699,Aceptable
1902,2923,Crítico
1679,2740,Crítico
1042,2339,Alerta
2243,4061,Crítico
1404,2972,Alerta
2013,4666,Alerta
593,4566,Aceptable
1326,1921,Crítico
1482,1193,Crítico
726,2169,Aceptable
390,4476,Aceptable
33,1046,Aceptable
582,1344,Alerta
1313,4032,Aceptable
72,4457,Aceptable
102,1105,Aceptable
165,3863,Aceptable
305,3982,Aceptable
1623,2524,Crítico
469,4476,Aceptable
2024,1781,Crítico
377,4459,Aceptable
1680,3322,Crítico
703,4920,Aceptable
622,4157,Aceptable
499,1035,Alerta
1387,2923,Alerta
2262,4033,Crítico
556,1761,Aceptable
2023,3428,Crítico
1208,4133,Aceptable
554,4969,Aceptable
2016,4542,Alerta
1783,3249,Crítico
408,2894,Aceptable
2143,2439,Crítico
767,1812,Alerta
831,4686,Aceptable
1630,3409,Alerta
1964,4074,Alerta
1684,1873,Crítico
2175,4551,Alerta
513,3824,Aceptable
868,4615,Aceptable
2291,4590,Alerta
1571,4428,Alerta
1748,4776,Alerta
1609,4964,Aceptable
128,4334,Aceptable
50,2237,Aceptable
1341,2497,Crítico
1819,3724,Alerta
595,4760,Aceptable
108,2592,Aceptable
2078,3650,Crítico
58,1475,Aceptable
1776,2671,Crítico
1039,2934,Alerta
343,1661,Aceptable
2155,4905,Alerta
734,3743,Aceptable
12,1829,Aceptable
1459,1054,Crítico
1300,1061,Crítico
815,4481,Aceptable
1210,2474,Alerta
2004,4881,Alerta
1354,2130,Crítico
76,1120,Aceptable
704,3958,Aceptable
186,3709,Aceptable
2291,3989,Crítico
1247,4058,Aceptable
1150,4767,Aceptable
604,4527,Aceptable
400,1350,Aceptable
263,2347,Aceptable
1538,3785,Alerta
2165,2951,Crítico
2342,2178,Crítico
1499,1141,Crítico
893,4294,Aceptable
264,2605,Aceptable
369,1724,Aceptable
2201,2305,Crítico
2090,2862,Crítico
1656,1988,Crítico
675,1043,Crítico
1480,1543,Crítico
2468,4328,Crítico
1945,2044,Crítico
882,2068,Alerta
936,2469,Alerta
2316,3774,Crítico
985,1667,Crítico
1991,4675,Alerta
2283,1039,Crítico
1059,4939,Aceptable
790,3608,Aceptable
1742,2259,Crítico
2434,4739,Crítico
2465,3997,Crítico
1329,1566,Crítico
1512,4563,Aceptable
772,1354,Crítico
1711,1454,Crítico
1371,1636,Crítico
867,1962,Alerta
1624,1134,Crítico
1686,3120,Crítico
271,3811,Aceptable
694,4825,Aceptable
2140,1971,Crítico
902,3977,Aceptable
2068,1366,Crítico
553,3114,Aceptable
1655,4680,Alerta
1358,4257,Aceptable
223,3095,Aceptable
638,3928,Aceptable
2115,2438,Crítico
1465,4886,Aceptable
2337,3174,Crítico
116,3143,Aceptable
2037,3918,Crítico
86,4387,Aceptable
1590,1889,Crítico
2208,4070,Crítico
1918,2751,Crítico
1012,3748,Aceptable
303,2744,Aceptable
701,4719,Aceptable
837,2110,Alerta
1172,4525,Aceptable
934,3252,Aceptable
1079,4776,Aceptable
752,2069,Alerta
872,3494,Aceptable
1411,4419,Aceptable
964,4695,Aceptable
37,2609,Aceptable
2082,2097,Crítico
1280,3978,Aceptable
576,4384,Aceptable
1313,3938,Aceptable
164,4021,Aceptable
956,4635,Aceptable
2057,3233,Crítico
1501,1750,Crítico
166,2824,Aceptable
2098,4160,Crítico
1809,4270,Alerta
1772,4757,Alerta
220,4675,Aceptable
2452,4001,Crítico
308,1247,Aceptable
312,3976,Aceptable
1068,2816,Alerta
2262,4301,Crítico
1978,1104,Crítico
1140,1567,Crítico
512,1694,Aceptable
44,1350,Aceptable
1480,2894,Crítico
1825,3949,Alerta
392,1237,Aceptable
981,4825,Aceptable
2226,2860,Crítico
1285,3817,Aceptable
391,3681,Aceptable
712,1640,Alerta
2214,4547,Alerta
521,4552,Aceptable
2262,1539,Crítico
803,2990,Aceptable
2180,2009,Crítico
867,1235,Crítico
1273,2366,Crítico
2410,4577,Crítico
1790,2218,Crítico
1457,2201,Crítico
2109,1435,Crítico
1634,3710,Alerta
2001,3692,Crítico
1853,1760,Crítico
374,1481,Aceptable
1380,1161,Crítico
